video_id,title,channel,upload_date,duration,view_count,year
_Yw5vdlCb84,"Yoga for One Earth, One Health | IDY 2025 Thailand | Governor of Bangkok on Why Yoga Matters",Indo Thai News,20250623,596,151,2025
lviLklNIk2Q,🌿 International Day of Yoga 2025 Celebration | The Yoga Traveler | IDY 2025 Highlights,The Yoga Traveler,20250626,228,37,2025
REcI14WYLfg,IDY 2025 - YOGA SANGAM 2025 - 6 PM - 21062025 - ES,wswd 2025,20250622,8427,40,2025
RXs8cHWBRq0,Celebrate IDY 2025: Yoga for Earth and Health in Just 2 minutes,RNA,20250620,115,32,2025
FRDkNG00khU,"Highlights of the International Day of Yoga (IDY) 2025 Celebrations in Bogota, Colombia.",Embajada de la India en Colombia ,20250903,151,16,2025
dU0Y-ZTNYxo,International Yoga Day -One day Count down Programme of IDY 2025,AIIAGOA,20250315,2970,867,2025
QlpDBRtZX8o,🌿 Yoga Protocol 2025 | International Day of Yoga (IDY 2025) 🌿,YogAbhilasha,20250617,219,246,2025
WWvE-QGVmAM,Yoga and it's Popularity | Over Years | Special | IDY 2025 | DD India,DD India,20250619,153,3883,2025
GzkKnhOvqiM,"Flagging off International Day of Yoga (IDY), 2025",CGI Shanghai,20250722,54,2,2025
t6B6jkuUHEo,Curtain Raiser Press Conference on International Day of Yoga (IDY) 2025,Ministry of Information & Broadcasting,20250612,2016,17,2025
NOK9-J_s3_8,IDY 2025,Davin's Fun Time,20250615,191,8,2025
JufwIJc5aSY,IYCHK IDY 2025 Story of Yajnavalkya,Iyengar Yoga Centre of Hong Kong,20250713,1201,20,2025
3iZ5WMvDy_4,Celebration of International Day of Yoga (IDY) – 2025 | 21 June,AmityUni,20250621,6428,652,2025
ZPvjYdERaEI,Yoga activity idy 2025#internationalyogaday2025,Nikunjyog,20250621,261,26,2025
3zACOxsxXsg,I&B Ministry celebrates IDY 2025 | DD India,DD India,20250621,58,75,2025
bccEoJ0G6qE,IDY 2025 prep event held in Shanghai,DD India,20250528,48,122,2025
nvMRN2bf0zY,IDY 2025 Day 1 (Protocol Session),Yogahitha Foundation,20250606,3167,133,2025
-4zfwCjtwQo,IDY 2025, NIA Panchkula,20250602,10,29,2025
r_s9fyqBDDg,IDY -2025 - Yoga Sangam 2025 - 6 AM - 21062025 - MS,wswd 2025,20250621,6952,74,2025
zdIgtTxEzv8,Yoga for addressing Mental Health challenges - IDY 2025 Message by Dr. Jitendra,Vasudeva Kriya Yoga With Rajendra,20250616,489,45,2025
lwld6izt6cA,RGU Successfully Organized Common Yoga Protocol Practice to the IDY-2025 #idy2024 #ayush #yoga #fit,e-Physical Education,20250522,5889,75,2025
ZKbE0otIDaE,IDY 2025- BREATHING & MEDITATION SESSION,Ashima Gupta (VedaQHealthfulness),20250623,1481,55,2025
