video_id,in_phase2,in_v1,has_transcript,status
Oti5_j_jtk0,True,False,False,phase2_missing_transcript
OumubmGN4zo,True,False,False,phase2_missing_transcript
OuwpMJdatAw,True,False,False,phase2_missing_transcript
P0poLjDMKwQ,False,True,True,legacy_only_with_transcript
P2JamScZXHQ,False,True,False,legacy_only
P5on4xVU2eQ,True,False,False,phase2_missing_transcript
PBM7Fs03FuI,True,False,False,phase2_missing_transcript
PD8oFGFK-5w,False,True,True,legacy_only_with_transcript
PDUxyfQjw7I,False,True,False,legacy_only
PMv5_AtWlzM,True,False,False,phase2_missing_transcript
PNLcohhQTHo,True,False,False,phase2_missing_transcript
PNymhlAUL1M,False,True,True,legacy_only_with_transcript
PQGFXP1KSUc,False,True,False,legacy_only
PSbOrSZKbfs,True,False,False,phase2_missing_transcript
PUH2ImyACJ0,False,True,False,legacy_only
PZqkX1mJ7qk,False,True,True,legacy_only_with_transcript
Pae3_BpBwyM,False,True,False,legacy_only
ParJGqcRX94,True,False,False,phase2_missing_transcript
PbLy3_7DPs4,True,False,False,phase2_missing_transcript
PcRqCO_wOd4,True,False,False,phase2_missing_transcript
PfkCT5wiyE8,True,False,False,phase2_missing_transcript
Pic_WNIkM2o,True,False,False,phase2_missing_transcript
Plf5Dg4BVsI,True,False,False,phase2_missing_transcript
PlxXjJjsaKw,True,False,False,phase2_missing_transcript
PmCVcjloRj8,True,False,False,phase2_missing_transcript
PoHxH7BWxig,False,True,True,legacy_only_with_transcript
PuUFl4VchH8,True,False,False,phase2_missing_transcript
PwlftiCiWmE,True,False,False,phase2_missing_transcript
PwymV0sekDs,True,False,False,phase2_missing_transcript
PxT6yKFTDmA,False,True,False,legacy_only
Q-x-DX47QJo,True,False,False,phase2_missing_transcript
Q0WsIBmog1I,False,True,True,legacy_only_with_transcript
Q1E2AbocGHs,True,False,False,phase2_missing_transcript
Q1LCTtFX_Fs,True,False,False,phase2_missing_transcript
QBuUEdQ3r_c,True,False,False,phase2_missing_transcript
QEFiLFRH0Vw,False,True,False,legacy_only
QHEU00mWt8s,False,True,False,legacy_only
QIU7y0WBfgc,True,False,False,phase2_missing_transcript
QJM9_Llf2Wg,False,True,False,legacy_only
QKQtvGCgO7w,False,True,False,legacy_only
QLXIv_0bvEw,True,False,False,phase2_missing_transcript
QPAbFSq8Ji8,False,True,False,legacy_only
QPsMAwSiZVk,True,False,False,phase2_missing_transcript
QQZ7e66-Vgk,True,False,False,phase2_missing_transcript
QVr_291uyG8,True,False,False,phase2_missing_transcript
QX3gSDoLjqM,False,True,True,legacy_only_with_transcript
QZr5XKkaFyI,False,True,False,legacy_only
Qg9xS_09m9k,True,False,False,phase2_missing_transcript
QgPMj1SlASA,False,True,False,legacy_only
QiVRZYVRFm4,False,True,False,legacy_only
QlpDBRtZX8o,True,False,False,phase2_missing_transcript
Qq0eWeCLcpg,True,False,False,phase2_missing_transcript
Qthn_19_aHM,False,True,True,legacy_only_with_transcript
QuGLcWPyvRQ,True,False,False,phase2_missing_transcript
