video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count,status,cluster
qQYRdiv6Uzc,YOGA FOR SELF AND SOCIETY❤️@Iampraptimehta#youtube #youtuber #viral #viralvideo #subscribe #love 💯,RhythmDancePrapti Mehta ,20240623,134.0,124,phase2,,,,,True,,transcript_available,2
s3XjI9qlOCY,Yoga Essays - Self Improvement - Yoga Essays Part 1 (Swami Jyotirmayananda Society),Swami Jyotirmayananda Society,20230919,823.0,145,phase2,,,,,True,,transcript_available,4
Cg_MlYk1wFs,Yoga for Self and Society. Yoga Day 2024. Yog Yogi yoga.,Yog Yogi Yoga,20240620,158.0,288,phase2,,,,,True,,transcript_available,4
Qq0eWeCLcpg,"Celebration of 10th International Yogaday.    Theme of 2024 ""Yoga for self and society""",Prince Academy,20240621,509.0,66,phase2,,,,,True,,transcript_available,4
KS1lN6AJwCI,International yoga day I Yoga for self and Society 2024 theme #internationalyogaday #latestupdate,Srishti GK,20240621,235.0,7,phase2,,,,,True,,transcript_available,2
uVvfdG6YyZE,l Yoga For Self and Society l International Day of Yoga 2024 l YOGA FOR ALL | ShivatmaYog,Shivatma Yog,20240620,192.0,52,phase2,,,,,True,,transcript_available,7
WnpukzPVEqk,Yoga for Self and Society: SMSIMSR celebrates International Yoga Day 2024 #yogaday,Sri Madhusudan Sai Global Humanitarian Mission,20240621,79.0,2928,phase2,,,,,True,,transcript_available,1
2t7ODAaZeFY,How does Karma Yoga lead to self-realization? | Selfless Work - Pure Mind,Vedanta Society of New York,20241111,828.0,14607,phase2,,,,,True,,transcript_available,1
6u8UCktloYQ,#Yoga Day 2024 #Paradeep Yoga for Self and Society,Biswajeet samal,20240621,350.0,28,phase2,,,,,True,,transcript_available,2
qyUybl8AFCA,HAPPY INTERNATIONAL YOGA DAY - Yoga for Self and Society🧘‍♀️🧘‍♂️  @homemadebazaar,Homemade Bazaar,20240621,92.0,12,phase2,,,,,True,,transcript_available,7
yNQaVDeRj0c,International Yoga Day # Yoga for self and society # 10th International Yoga day,Yoga Se Hi Hoga I Giirish Anand,20240621,239.0,15,phase2,,,,,True,,transcript_available,2
V_qBVguvIkc,10th International Yoga Day Celebration (YOGA FOR SELF AND SOCIETY),Indian Yoga Techniques,20240621,3371.0,450,phase2,,,,,True,,transcript_available,9
